text,migration_relevance,compound_polarity,negative_polarity,neutral_polarity,positive_polarity
rt frank_fisher dear bbc migrants in hungary are not trying to travel to europe they are in europe they are trying to claim asylum,1.0,0.3818,0.0,0.898,0.102
rt france24 hungary to return economic migrants where they came from,1.0,0.0,0.0,1.0,0.0
rosmcm one positive - yvette sticking her neck out finally and saying we need to take thousands of syrian refugees,1.0,0.5574,0.0,0.833,0.167
rt neilmackay its easy to espouse european values nows the time to show european values and act together to help the refugees seeking,1.0,0.875,0.0,0.633,0.367
rt kbrady90 munich police overwhelmed with help for refugees ask german public to stop bringing supplies refugeeswelcome,1.0,0.1779,0.109,0.697,0.194
rt bassamnadi1 europe needs a call for empathythey fled war crossed the seaare heroes of tragic storiesrefugeeswelcome,1.0,-0.5574,0.297,0.56,0.142
rt bradleyrayres europe breaking up eu could scrap free movement in wake of migrant crisis,1.0,-0.2023,0.201,0.637,0.162
afghan refugees in pak should be handed over back too afghanistan its a matter of national security now we helped as much poss pakistan,1.0,0.3612,0.0,0.857,0.143
rt louisathelast wow icelands government said theyd take 50 syrian refugee and 10000 icelanders said theyd personally take in at le,1.0,0.5859,0.0,0.84,0.16
rt skynews metro front page ten refugee families for every town skynews,1.0,0.0,0.0,1.0,0.0
petition accept more asylum seekers and increase support for refugee migrants in the uk,1.0,0.765,0.0,0.591,0.409
rt jamesmatesitv the covered concourse leading to the underground station can only be described as a refugee camp budapest,1.0,0.0,0.0,1.0,0.0
rt iran_policy 7 iranian refugees were abducted from campashraf iraq by forces loyal2tehran on 1sep2013 freethe7 ashrafmassacre http,1.0,-0.5106,0.171,0.829,0.0
rt wfp i know the world has forgotten us were too much of a burden fatmeh syrian refugee,1.0,-0.5859,0.255,0.745,0.0
rt wientv in cooperation with newsrevo train of hope refugees welcomed in austria amp germany delayed in hungary,1.0,0.5267,0.086,0.676,0.239
how did it work out whats the status of the syrian people look at the well educated syrian refugees that arrived,1.0,0.2732,0.0,0.905,0.095
rt polizeimuenchen please do not bring any more goods for the momentthe donations at hand will be sufficient for the refugees present an,1.0,0.6705,0.0,0.792,0.208
rt polizeimuenchen we are thrilled by the myriad of relief supplies the citizens of munich provided for the refugees at the central stat,1.0,0.7184,0.0,0.778,0.222
rt gisela_estep migrant children recovering after being rescued from austria minivan reuters iran usa,1.0,0.4215,0.0,0.823,0.177
baijiulover 34 would allow for military intervention in migrant crisis the lacking element is all other means not exhausted,1.0,-0.2709,0.17,0.664,0.166
rt davidschneider we simply cant afford to allow more refugees in oh and heres 500m towards nuclear weapons - tories,1.0,-0.5523,0.212,0.788,0.0
rt ianbremmer after iceland govt offers to take all of 50 syrian refugees 11000 icelandic citizens sign up to open their homes to a refu,1.0,0.0,0.0,1.0,0.0
europe is being swamped invaded ethnically cleansed colonised enough migrants close the borders now eu schengen,1.0,0.0,0.0,1.0,0.0
we dont need to take more responsibility for thousands of imigrants we need to take more responsabilty for millions of britishbluehand,1.0,0.0,0.0,1.0,0.0
rt bbcworld 2 weeks 9 countries 3000 euros a syrian migrants journey from turkey to sweden,1.0,0.0,0.0,1.0,0.0
rt catanigra 350000 migrants have crossed the mediterranean in 2015 so far 100000 more than in all of 2014,1.0,0.0,0.0,1.0,0.0
stranded on train in calais by refugee crisis appropriately reading postcapitalism by paulmasonnews till the lights went out,1.0,-0.6249,0.194,0.806,0.0
top story train of hope refugees welcomed in austria amp germany delayed in hu see more,1.0,0.6369,0.09,0.571,0.338
rt 7piliers there are over 4 million syrian refugees spread out over five neighboring countriesgif by nowthisnews,1.0,0.0,0.0,1.0,0.0
in past 9yrs the canadian government jailed 87317 migrants including hundreds of children without charges cdnpoli,1.0,-0.3369,0.168,0.736,0.095
rt kon__k while germany decides to take 800000 refugees in one year australias refugee intake 13750 is lower than it was under p,1.0,-0.296,0.095,0.905,0.0
rt londonerabroad refugees in standoff outside budapest rail station ajenews,1.0,0.0,0.0,1.0,0.0
rt msnbc hundreds of migrants stopped at hungary rail station,1.0,-0.2263,0.174,0.826,0.0
migrant chaos at budapest train station germany says eu rules still hold hundreds of angry migrants demonstr,1.0,-0.7906,0.318,0.682,0.0
rt scott_gilmore 1 million refugees may flee to europe this year but thats not the real refugee crisis my macleansmag column http,1.0,-0.7684,0.22,0.78,0.0
thousands more migrants reach athens boats carrying thousands of migrants arrive overnight in mainland greece,1.0,0.0972,0.0,0.91,0.09
chpsre rt refugees over 140000 people sought asylum in hungary so far this year,1.0,0.0,0.0,1.0,0.0
rt sturdyalex greek tourists rescue syrian refugee he clung to a car tyre for 13hrs this pic says it all http,1.0,0.5106,0.0,0.852,0.148
rt telegraph ferry carrying thousands of migrants arrives from lesbos,1.0,0.0,0.0,1.0,0.0
record number of 4000 arrive inlesvos this weekend refugeesgr,1.0,0.0772,0.0,0.86,0.14
